t,x,y,rhf
1.408459201388889137e-01,1.619999999999999912e-03,3.320833333333333189e-04,6.999999999999999556e-01
1.408984375000000289e-01,1.619999999999999912e-03,3.824999999999999733e-04,6.999999999999999556e-01
1.409509548611111440e-01,1.619999999999999912e-03,4.329166666666666276e-04,6.999999999999999556e-01
1.410034722222222592e-01,1.619999999999999912e-03,4.833333333333332820e-04,6.999999999999999556e-01
1.410559895833333743e-01,1.619999999999999912e-03,5.337499999999999363e-04,7.435632909958885817e-01
1.411085069444444895e-01,1.619999999999999912e-03,5.841666666666666449e-04,7.875732272295103975e-01
1.411610243055555769e-01,1.619999999999999912e-03,6.345833333333332450e-04,8.258639978187216624e-01
1.412135416666666921e-01,1.619999999999999912e-03,6.849999999999999535e-04,8.589238067714830560e-01
1.412660590277778072e-01,1.619999999999999912e-03,7.354166666666665537e-04,8.872215495107798056e-01
1.413185763888889224e-01,1.619999999999999912e-03,7.858333333333332622e-04,9.112068128745802742e-01
1.413710937500000375e-01,1.619999999999999912e-03,8.362499999999998624e-04,9.313098751158489508e-01
1.414236111111111527e-01,1.619999999999999912e-03,8.866666666666665709e-04,9.479417059025437853e-01
1.414761284722222678e-01,1.619999999999999912e-03,9.370833333333332795e-04,9.614939663176177431e-01
1.415286458333333552e-01,1.619999999999999912e-03,9.874999999999998796e-04,9.723390088590299074e-01
1.415811631944444704e-01,1.619999999999999912e-03,1.037916666666666588e-03,9.808298774396982944e-01
1.416336805555555856e-01,1.619999999999999912e-03,1.088333333333333297e-03,9.873003073875726843e-01
1.416861979166667007e-01,1.619999999999999912e-03,1.138749999999999788e-03,9.920647254455843278e-01
1.417387152777778159e-01,1.619999999999999912e-03,1.189166666666666497e-03,9.954182497716580480e-01
1.417912326388889310e-01,1.619999999999999912e-03,1.239583333333333206e-03,9.976366899387146825e-01
1.418437500000000462e-01,1.619999999999999912e-03,1.289999999999999914e-03,9.989765469346699733e-01
1.418962673611111336e-01,1.619999999999999912e-03,1.340416666666666623e-03,9.996750131624441149e-01
1.419487847222222487e-01,1.619999999999999912e-03,1.390833333333333114e-03,9.999499724399179001e-01
1.420013020833333639e-01,1.619999999999999912e-03,1.441249999999999823e-03,1.000000000000001776e+00
1.420538194444444791e-01,1.619999999999999912e-03,1.491666666666666531e-03,9.999999999999997780e-01
1.421063368055555942e-01,1.619999999999999912e-03,1.542083333333333240e-03,9.999999999999980016e-01
1.421588541666667094e-01,1.619999999999999912e-03,1.592499999999999732e-03,9.999999999999971134e-01
1.422113715277777968e-01,1.619999999999999912e-03,1.642916666666666440e-03,1.000000000000007105e+00
1.422638888888889119e-01,1.619999999999999912e-03,1.693333333333333149e-03,1.000000000000004663e+00
1.423164062500000271e-01,1.619999999999999912e-03,1.743749999999999857e-03,1.000000000000002442e+00
1.423689236111111422e-01,1.619999999999999912e-03,1.794166666666666566e-03,1.000000000000000444e+00
1.424214409722222574e-01,1.619999999999999912e-03,1.844583333333333058e-03,9.999999999999992228e-01
1.424739583333333726e-01,1.619999999999999912e-03,1.894999999999999766e-03,9.999999999999975575e-01
1.425264756944444877e-01,1.619999999999999912e-03,1.945416666666666475e-03,9.999999999999960032e-01
1.425789930555555751e-01,1.619999999999999912e-03,1.995833333333333400e-03,1.000000000000005773e+00
1.426315104166666903e-01,1.619999999999999912e-03,2.046249999999999892e-03,1.000000000000003775e+00
1.426840277777778054e-01,1.619999999999999912e-03,2.096666666666666817e-03,1.000000000000001110e+00
1.427365451388889206e-01,1.619999999999999912e-03,2.147083333333333309e-03,9.999999999999998890e-01
1.427890625000000357e-01,1.619999999999999912e-03,2.197499999999999801e-03,9.999999999999984457e-01
1.428415798611111509e-01,1.619999999999999912e-03,2.247916666666666726e-03,9.999999999999964473e-01
1.428940972222222661e-01,1.619999999999999912e-03,2.298333333333333218e-03,9.999999999999956701e-01
1.429466145833333535e-01,1.619999999999999912e-03,2.348750000000000143e-03,1.000000000000005329e+00
1.429991319444444686e-01,1.619999999999999912e-03,2.399166666666666635e-03,1.000000000000003331e+00
1.430516493055555838e-01,1.619999999999999912e-03,2.449583333333333127e-03,1.000000000000001776e+00
1.431041666666666989e-01,1.619999999999999912e-03,2.500000000000000052e-03,9.999999999999995559e-01
1.431566840277778141e-01,1.619999999999999912e-03,2.550416666666666544e-03,9.999999999999982236e-01
1.432092013888889293e-01,1.619999999999999912e-03,2.600833333333333469e-03,9.999999999999963363e-01
1.432617187500000444e-01,1.619999999999999912e-03,2.651249999999999961e-03,9.999999999999954481e-01
1.433142361111111318e-01,1.619999999999999912e-03,2.701666666666666453e-03,1.000000000000006217e+00
1.433667534722222470e-01,1.619999999999999912e-03,2.752083333333333378e-03,1.000000000000003331e+00
1.434192708333333621e-01,1.619999999999999912e-03,2.802499999999999870e-03,1.000000000000001776e+00
1.434717881944444773e-01,1.619999999999999912e-03,2.852916666666666361e-03,1.000000000000000444e+00
1.435243055555555924e-01,1.619999999999999912e-03,2.903333333333333287e-03,9.999999999999981126e-01
1.435768229166667076e-01,1.619999999999999912e-03,2.953749999999999779e-03,9.999999999999971134e-01
1.436293402777778228e-01,1.619999999999999912e-03,3.004166666666666704e-03,9.999999999999952260e-01
1.436818576388889102e-01,1.619999999999999912e-03,3.054583333333333196e-03,1.000000000000005995e+00
1.437343750000000253e-01,1.619999999999999912e-03,3.104999999999999687e-03,1.000000000000003775e+00
1.437868923611111405e-01,1.619999999999999912e-03,3.155416666666666613e-03,1.000000000000001332e+00
1.438394097222222556e-01,1.619999999999999912e-03,3.205833333333333104e-03,1.000000000000000222e+00
1.438919270833333708e-01,1.619999999999999912e-03,3.256250000000000030e-03,9.999999999999978906e-01
1.439444444444444859e-01,1.619999999999999912e-03,3.306666666666666522e-03,9.999999999999967804e-01
1.439969618055556011e-01,1.619999999999999912e-03,3.357083333333333013e-03,9.999999999999958922e-01
1.440494791666666885e-01,1.619999999999999912e-03,3.407499999999999939e-03,1.000000000000005551e+00
1.441019965277778037e-01,1.619999999999999912e-03,3.457916666666666430e-03,1.000000000000003553e+00
1.441545138888889188e-01,1.619999999999999912e-03,3.508333333333333356e-03,1.000000000000001332e+00
1.442070312500000340e-01,1.619999999999999912e-03,3.558749999999999847e-03,9.999999999999998890e-01
1.442595486111111491e-01,1.619999999999999912e-03,3.609166666666666339e-03,9.999999999999984457e-01
1.443120659722222643e-01,1.619999999999999912e-03,3.659583333333333265e-03,9.999999999999964473e-01
